Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Argentina,ARG,GDP at market prices (current US$),NY.GDP.MKTP.CD,220813784300.124,262666517346.674,329317513142.711,403781994527.786,376627876887.774,461640242696.171,557890203658.125,604378456915.58,614383517369.503,537659972702.092
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,5640.84850283585,6639.90943461746,8239.13716134639,9999.09351693522,9231.38290041999,11198.6425666859,13392.9169036445,14357.4115893903,14443.0656513599,12509.5311180615
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.762448625002699,0.697879247367395,0.691981964580775,0.682994134877242,0.783761711581476,0.747778636335571,0.720326045917766,0.748596481666467,0.823482588736399,0.793163685199679
Argentina,ARG,"Population, total",SP.POP.TOTL,39145491,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304,42980026
Australia,AUS,GDP at market prices (current US$),NY.GDP.MKTP.CD,693075477371.824,746880802635.52,853053309256.497,1054557743957.03,926563834486.821,1142250506474.06,1389919156068.22,1537477830480.51,1563950959269.52,1454675479665.84
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,33982.9504271591,36084.8589777475,40957.8304392487,49628.1151270179,42715.1322619629,51845.6548605562,62216.5471294133,67646.1038529626,67627.7733345844,61925.4960621856
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.88024240478388,1.89567473389378,1.89032280628126,1.8858329916354,1.93176734402948,1.95180895699173,1.82898932114244,1.69813674427214,1.6869120162059,1.78006384034109
Australia,AUS,"Population, total",SP.POP.TOTL,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23125868,23490736
Brazil,BRA,GDP at market prices (current US$),NY.GDP.MKTP.CD,892103187643.773,1107802142233.26,1395938061732.83,1694585014723.52,1664586375912.77,2209433265120.51,2615234935437.59,2413135528134.76,2392082463707.62,2346076315118.55
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,4733.16418107253,5809.18909594586,7240.92398337745,8700.45520183758,8462.50834558689,11124.2457796398,13042.4219326201,11922.5130576782,11711.004404501,11384.4150095055
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.52320539881459,1.48086855268607,1.46749613966875,1.44297882884477,1.5408749662728,1.53901567727984,1.4123730074644,1.4083951204039,1.37778088863183,1.34420686162714
Brazil,BRA,"Population, total",SP.POP.TOTL,188479240,190698241,192784521,194769696,196701298,198614208,200517584,202401584,204259377,206077898
Canada,CAN,GDP at market prices (current US$),NY.GDP.MKTP.CD,1164144248225.78,1310752820874.47,1457871706545.01,1542618556701.03,1370839821537.92,1614013783731.31,1788796361798.89,1832715597431.65,1838964175409.41,1785386649602.19
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,36028.2324902754,40243.5522837141,44328.4753768925,46400.4418456756,40764.1413468899,47463.6311923649,52086.533524627,52733.4736890102,52305.2583938465,50235.3855086004
Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.11564389562702,1.12983701858475,1.1946963407625,1.25389283184303,1.38135949616051,1.19670222407724,1.14513218539514,1.11175397055965,1.00402163105231,0.977390401681162
Canada,CAN,"Population, total",SP.POP.TOTL,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34754312,35158304,35540419
China,CHN,GDP at market prices (current US$),NY.GDP.MKTP.CD,2268598904116.28,2729784031906.09,3523094314820.9,4558431073438.2,5059419738267.41,6039658508485.59,7492432097810.11,8461623162714.07,9490602600148.49,10354831729340.4
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1740.09672638011,2082.18336250102,2673.2941909354,3441.22135457021,3800.47454161277,4514.94052013381,5574.18709336902,6264.64387793993,6991.85386564447,7590.01644054361
China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.04039030467606,2.07574678645169,2.03641970693166,2.01072330156397,2.20930400556434,2.04204909232752,1.96540758711362,2.00440703363938,2.01490179881522,2.09011007843793
China,CHN,"Population, total",SP.POP.TOTL,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000
European Union,EUU,GDP at market prices (current US$),NY.GDP.MKTP.CD,14334861955243,15296026866695.6,17686582339157.9,19030280725296.9,17021967745990.1,16947621760665.5,18323191387490,17248798723694.4,17987465273840.3,18514155872554.5
